,news
2415,"Happy New Year 2026 Celebrations Live Updates: ‘Praying for peace and happiness’, PM Modi extends wishes as India rings in New Year"
2416,"Gold Today Rate, December 31: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2417,"Rats ate 200 kg ganja, claimed police; Ranchi court acquits accused in 2022 drugs case"
2418,"‘Focus on work, not on greetings, congratulatory activities’: Odisha CM to govt officials ahead of ‘English New Year’"
2419,"Bihar ropeway collapse: Inquiry reveals ‘grave negligence’, engineers suspended, contractor to be blacklisted"
2420,"Fears of contaminated water supply in Indore area after sudden spike in gastroenteritis cases, over 30 fall ill"
2421,"Life of crime that began at 13, political foray, ‘Rs 750-crore loot’: Who was Vinay Tyagi, gangster killed in Uttarakhand police custody?"
2422,Tripura student’s killing in Dehradun a result of ‘heat-of-moment assault’: Police say not racially motivated
2423,"Stepped-up searches, ban on VPN: Ahead of New Year, how J-K is gearing up to check terror activity"
2424,Goa to get third district with headquarters at Quepem
2425,Bank Holiday Today: Are banks open or closed on New Year’s Eve (December 31)? Check city-wise operational status
2426,"Parliament Museum, stalled over content, likely to open by April—with 9 themes"
2427,"PM ‘concerned’ over targeting of Putin home, Ukraine says ‘disappointed’"
2428,"Defence Ministry signs over Rs 4,666-crore deals for procurement of combat carbines, torpedoes"
2429,"FIR against anti-drugs women’s group: Thakur slams HP govt, says action ‘shameful’"
2430,"Over a year after govt withdrew ads for 45 posts, lateral entry hiring still in limbo"
2431,"3 Kashmiris based in US, Germany booked in J-K for ‘weaponising’ social media, told to appear before Srinagar court"
2432,Indian Railways offers 3% discount on RailOne App unreserved tickets via all digital payments
2433,"Module that ‘radicalised, recruited’ people for Bangladesh-based group busted by Assam Police"
2434,"‘Maoist movement is over’: Amid spate of surrenders, Telangana DGP says ‘leaders, cadres disillusioned with armed struggle’"
2435,"How PM Modi, Pak’s Sharif and other world leaders reacted to reports of drone strike on Putin’s residence"
2436,UP SIR 2026 Voter List: How to check your name online in draft voter list? Check date and details of announcement
2437,Senior CPM leader and Kerala ex-minister Kadakampally Surendran questioned for 2 hours in Sabarimala ‘gold theft’ case
2438,‘Ensure safety of Northeast students on priority’: Rights panel issues notices to Uttarakhand govt after Tripura student’s murder
2439,Khaleda Zia’s India roots and her ties with New Delhi: A timeline
2440,"Adhir Ranjan Chowdhury meets PM Modi, flags Bengal migrants being ‘targeted’ in BJP-ruled states"
2441,"Bus falls 200 metres into gorge in Uttarakhand; 7 killed, 12 injured"
2442,"Amit Shah says Mamata govt turning Bengal into haven for infiltrators, running ‘toll syndicate’ for welfare schemes"
2443,Vandalism affecting Christmas celebrations contrary to constitutional values: Mizoram CM Lalduhoma
2444,"Silver Today Rate, December 30: Silver price today in India, Delhi, Hyderabad, Bangalore, Chennai, Mumbai and other silver rate list"
2445,PM Modi mourns Khaleda Zia’s death: ‘Hope her vision & legacy will continue to guide Indo-Bangla partnership’
2446,SC’s Aravalli stay order questions ‘structural paradox’ of 100-m rule
2447,"Gold Today Rate, December 30: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2448,"Bank Holiday Today: Are banks open or closed on Tuesday, December 30? Check city-wise operational status"
2449,"Goa club fire: Luthra brothers sent to judicial custody, will get their prescribed medicines via police, says lawyer"
2450,Jharkhand school survey to get ‘Other’ religion category after objection
2451,"Sighting of suspicious balloons on the rise in J-K, say officials after latest find of PIA-marked plane-shaped one"
2452,Future City plans gain momentum as Telangana govt creates new police commissionerate
2453,"Military hardware worth  Rs 79,000 crore gets govt nod"
2454,"After 2 groups clash in Kishtwar, district bars unregistered portals from publishing news for 2 months; man held for ‘misleading video’"
2455,"8,000 aspirants, 183 jobs and an airstrip: Inside Odisha’s Home Guard rush"
2456,"After stabbing Tripura youth in Dehradun, accused bought booze and partied, some didn’t head home for days"
2457,"Will continue fight… our life turned into a joke, says Unnao rape survivor"
2458,Nod to translocate Botswana cheetahs likely in Jan-Feb
2459,CAT’s Hyderabad bench quashes BrahMos DG Jaiteerth R Joshi’s appointment
2460,"Scrapping MGNREGA anti-rural, Congress will launch statewide protests: Sukhu"
2461,"Railways jumps into action to combat train delays due to fog, rolls out 5-step plan"
2462,Catholic priest from Kerala arrested in Canada for ‘sexual assault’
2463,‘Abysmal record’: MEA rejects Pakistan claim on Indian minorities
2464,"In brutal assault with machetes, 4 Tamil Nadu youths injure migrant from Odisha, post video on Instagram flashing victory sign"
2465,7 Bajrang Dal men who barged into Raipur mall and vandalised Christmas decorations denied bail
2466,Bihar goods train accident: Howrah-Patna-Delhi route disrupted for 2nd consecutive day – Full list of affected trains
2467,"Site of eviction drive now stage for his speech, Amit Shah’s Assam promise: Won’t spare a single infiltrator"
2468,"55 tigers dead in Madhya Pradesh in 2025, highest since Project Tiger was launched more than half century ago"
2469,Aravalli definition row: Supreme Court stays its order on ‘100-metre’ rule. All about the controversy
2470,Top 10 highest revenue generating stations of North Western Railway
2471,"He told police his nephew was missing. Then, a gruesome murder unravelled"
2472,Kuldeep Sengar’s brief relief ends as SC stays Delhi HC’s bail order in 2017 Unnao rape case: All you need to know
2473,"Silver Today Rate, December 29: Silver price today in India, Delhi, Hyderabad, Bangalore, Chennai, Mumbai and other silver rate list"
2474,Bangladesh news Highlights: Khaleda Zia passes away a day after her nomination for election was filed
2475,"Gold Today Rate, December 29: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities"
2476,"Bharatmala project land acquisition case: ED conducts raids in Chhattisgarh’s Raipur, Mahasamund"
2477,"Musical chairs in Kerala village panchayat: When Congress, BJP joined hands to keep Left out"
2478,1 killed as Tatanagar-Ernakulam Express catches fire in Andhra Pradesh
2479,"‘We don’t want to sell our land’: Day after anti-mining stir turned violent in Chhattisgarh, a win for villagers"
2480,"Fog News Today Highlights: 118 flights cancelled, 16 diverted at Delhi airport as dense fog disrupts operations"
2481,"Rishikesh protesters block highway, ‘pelt stones’ at officials days after Supreme Court direction on forest land encroachment"
2482,States asked to share detailed records of post-Independence protests; SOP to prevent mass agitations by ‘vested interests’ in pipeline
2483,"‘A hollow victory’: For Assam’s former militants & campaigners, SC win is 24 yrs late"
2484,"‘They called him Chinese and momo, he said he’s from Tripura’: In Dehradun, racial attack snuffs out young life"
2485,NC MP among those under house arrest; bid to create chaos: Farooq Abdullah
2486,"Replicate PRAGATI in states, set up data strategy units: PM Modi"
2487,"Aravalli row simmering, Rajasthan opened ‘urban hill terrain’ to ‘low-density’ activities"
2488,‘Doesn’t reflect facts’: Dhaka on Delhi remarks over hostilities against minorities
2489,India committed to zero tolerance towards terrorism in all its forms: Union Home Secretary
2490,"Congress will fight 100 of 126 Assam seats, Gaurav Gogoi vows law against ‘spreading religions hate’ if they win"
2491,Two Maoists with collective bounty of Rs 6 lakh among three surrendered before Bihar Police
2492,College student dies by suicide in Jaipur after getting ‘caught cheating’ in exam
2493,"‘Bulldozer Raj’: CPI(M) MLA, BJP councillor spar over office space in Thiruvananthapuram"
2494,"‘Nothing will happen’: Police probe rape complaint against Madhya Pradesh BJP councillor’s husband, and a viral video"
2495,PAN-Aadhaar link status: Step-by-step guide to check online
2496,"World looks at India with great hope due to youth power, says PM Modi in 2025’s final Mann ki Baat"
2497,Droupadi Murmu becomes second Indian President to undertake submarine sortie
2498,Indian Railways ticket booking: Train reservation time changes for Aadhaar-authenticated IRCTC users from Dec 29
2499,"Student stir looming, spate of house detentions in Kashmir — from NC’s Ruhullah to PDP’s Para"
2500,"Train accident in Bihar: Railways cancels/diverts several trains; probe underway, says official"
2501,Jewellery inventory of Puri temple’s Ratna Bhandar likely before next Rath Yatra
2502,"Mining project becomes site of violent protest in Chhattisgarh; cops injured, vehicles torched"
2503,"Exclusive: Goa club fire probe puts bulk of blame on panchayat, some scrutiny on govt departments"
2504,"Two weeks before Supreme Court accepted 100-m Aravalli norm, its panel cautioned on mining leases"
2505,Gangster shot at in snarl while being taken to court in Uttarakhand dies
2506,"Centre deliberates on suggestions by states, UTs on PM-POSHAN"
2507,"Unnao rape victim files complaint with CBI, says case IO ‘colluding’ with Sengar"
2508,Assam SIR 2026 Voter List: How to check your name online in SIR 2026 Voter List
2509,"Car stunt on snow-laden Mughal Road, all for a reel, traffic cop suspended in Poonch"
2510,Dipu Das condition in Bangladesh today will be what Assamese face 20 years later: Himanta frames 2026 Assam polls as ‘civilisational fight’
2511,Shashi Tharoor writes to Railway Minister over omission of Thiruvananthapuram from vision 2030 upgrades
2512,Gangster being taken to court shot dead after police vehicle gets stuck in traffic jam
2513,"Exclusive: In Jammu, protest seeking ouster of Kashmiri Muslim students from J&K medical college"
2514,New Delhi railway station redevelopment: Two new buildings planned to serve 7 lakh passengers daily
2515,Indian Railways ridership 2025: Over 693 crore passengers travelled by train till November
2516,"Assam draft voter roll flags over 10 lakh names for deletion, correction after door-to-door survey"
2517,"Congress to launch ‘MGNREGA Bachao’ protest on Jan 5, demand repeal of VB-G RAM G Act: Kharge"
2518,Tejas vs Shatabdi vs Vande Bharat vs Gatimaan: Which premium train is cheapest in India?
2519,"Winter tightens grip across India, IMD warns of dense fog, cold wave and snowfall till January 1"
2520,"Days before inauguration, ropeway to Bihar’s Rohtasgarh Fort collapses during trial run"
2521,Congress chief Kharge slams attacks on Hindus in Bangladesh at CWC meet
2522,SIR hearing in Bengal today. You will need these documents to update your details in 2026 electoral roll
